,contrast,dissimilarity,homogeneity,ASM,energy,correlation
0,"[ 206.97470238  421.70748299  271.44816468  405.91005291  561.18724798
  421.70748299  752.98059476  405.91005291  890.71670082  990.58272633
 1150.48335041  941.88605619 1180.0921875  1443.15318463 1451.54192708
 1386.34802472]","[ 6.91765873 10.186193    8.34499008 10.08490804 11.70035282 10.186193
 14.1343246  10.08490804 15.11168033 16.31009365 17.87730533 16.05671176
 18.084375   20.70814297 20.72265625 20.21633969]","[0.53561497 0.49707976 0.51031638 0.49038817 0.48377833 0.49707976
 0.46397458 0.49038817 0.46328801 0.45231344 0.44356639 0.44943103
 0.44384699 0.41697333 0.4291313  0.41995771]","[0.17305554 0.15529887 0.16550852 0.15255145 0.1506448  0.15529887
 0.13985701 0.15255145 0.13749756 0.12975463 0.12982468 0.13066108
 0.12656331 0.11108484 0.12276855 0.1166195 ]","[0.41599944 0.39407977 0.40682738 0.39057835 0.38812988 0.39407977
 0.37397461 0.39057835 0.37080663 0.3602147  0.36031192 0.36147072
 0.35575738 0.33329392 0.35038344 0.34149597]","[0.96015011 0.91955925 0.94770085 0.92257311 0.89306511 0.91955925
 0.85629447 0.92257311 0.83204284 0.81468893 0.78251233 0.82380085
 0.77980049 0.73520163 0.72821194 0.74563092]"
1,"[ 242.25396825  471.45704208  280.15451389  448.78835979  703.19027218
  471.45704208  803.69128024  448.78835979 1155.24641393 1153.91519251
 1271.14241803 1116.28720083 1550.60807292 1678.16124698 1610.1890625
 1675.24482666]","[ 7.22420635 10.38372386  8.07167659 10.14739229 12.43876008 10.38372386
 14.02998992 10.14739229 16.33709016 17.01977107 18.15420082 16.70083247
 19.53046875 21.60494491 21.15833333 21.41467347]","[0.51773208 0.47415173 0.50012368 0.47676985 0.46116331 0.47415173
 0.44355002 0.47676985 0.42996736 0.41614674 0.42117373 0.41850876
 0.40403611 0.3797948  0.39731545 0.3844235 ]","[0.13050101 0.11212197 0.12488214 0.11487485 0.10604557 0.11212197
 0.10200721 0.11487485 0.09251768 0.08731529 0.09254091 0.08967149
 0.08107992 0.07408586 0.0850099  0.07706321]","[0.36124923 0.33484619 0.35338668 0.33893192 0.32564638 0.33484619
 0.31938568 0.33893192 0.3041672  0.2954916  0.30420537 0.29945198
 0.28474535 0.27218717 0.29156457 0.27760262]","[0.95675804 0.91666029 0.94999235 0.92066744 0.87570928 0.91666029
 0.85794849 0.92066744 0.79781866 0.79991726 0.77755356 0.80644179
 0.73129931 0.71453304 0.72102759 0.71502923]"
2,"[ 201.33234127  364.33282943  239.49082341  371.88183422  495.78981855
  364.33282943  636.07762097  371.88183422  743.19441598  780.75130073
  958.32684426  799.58636837  937.94192708 1090.38242408 1177.20286458
 1077.76108573]","[ 7.66369048 10.41446208  8.51264881 10.56664147 12.21219758 10.41446208
 13.97076613 10.56664147 15.12371926 15.57492196 17.4897541  15.97502601
 17.27682292 19.26498253 19.82109375 19.28486966]","[0.40188282 0.35679186 0.38149616 0.35620349 0.33913341 0.35679186
 0.32009849 0.35620349 0.30463132 0.30463265 0.29140803 0.29674288
 0.28959367 0.26030072 0.26738952 0.25994219]","[0.05438621 0.04448021 0.04909127 0.04402582 0.04123233 0.04448021
 0.03609458 0.04402582 0.03527068 0.03344672 0.02989788 0.03241561
 0.0309139  0.02568316 0.02486599 0.02466279]","[0.23320852 0.21090332 0.2215655  0.2098233  0.20305745 0.21090332
 0.18998573 0.2098233  0.18780489 0.18288445 0.17291003 0.18004337
 0.17582349 0.16025968 0.15768955 0.1570439 ]","[0.9533579  0.9162107  0.94452155 0.91447458 0.88599986 0.9162107
 0.85372515 0.91447458 0.83038007 0.82297288 0.7811823  0.81870218
 0.78759288 0.75606899 0.73310483 0.75889255]"
3,"[ 211.57217262  372.7084908   245.5374504   437.72537163  607.69254032
  372.7084908   700.49319556  437.72537163 1012.45286885  960.09027055
 1136.96593238 1116.96592092 1381.61796875 1505.2612201  1530.49427083
 1724.20128998]","[ 6.58953373  9.04409171  7.3062996   9.8377425  11.32258065  9.04409171
 12.57585685  9.8377425  14.94928279 15.1116025  16.328125   16.15634755
 18.14453125 19.90190809 19.5484375  21.20317119]","[0.56938192 0.53004316 0.55233424 0.52622563 0.52359019 0.53004316
 0.50913705 0.52622563 0.50195925 0.48601153 0.48320106 0.48774135
 0.47531873 0.44921228 0.45902346 0.45132565]","[0.2109391  0.19398137 0.20451984 0.1933387  0.18779622 0.19398137
 0.179923   0.1933387  0.17322201 0.1644455  0.16394361 0.16727029
 0.15758328 0.14139401 0.14972412 0.14459541]","[0.45928107 0.44043316 0.4522387  0.43970297 0.43335461 0.44043316
 0.42417332 0.43970297 0.41619948 0.40551881 0.40489951 0.40898691
 0.3969676  0.37602395 0.38694201 0.38025703]","[0.96301494 0.93550588 0.95707652 0.92425524 0.89486239 0.93550588
 0.87880242 0.92425524 0.82664626 0.83720492 0.80531157 0.81060465
 0.76591909 0.74984379 0.74064301 0.71345846]"
4,"[ 286.95014881  556.5021416   334.18402778  552.56361804  838.17086694
  556.5021416   956.49042339  552.56361804 1414.38780738 1399.90790843
 1553.4067623  1449.49895942 1946.54401042 2184.57672669 2124.54296875
 2328.25799516]","[ 7.30084325 10.57369615  8.14880952 10.51423532 12.54737903 10.57369615
 14.07459677 10.51423532 16.52202869 17.29708637 18.60553279 17.67117586
 20.03255208 23.05993013 22.84505208 23.93227627]","[0.59964875 0.57466438 0.59038968 0.57143795 0.56405141 0.57466438
 0.55376119 0.57143795 0.54279249 0.53239477 0.52808202 0.52865741
 0.52084067 0.49850246 0.51121654 0.49254026]","[0.27902462 0.26329812 0.27522959 0.25954505 0.25518538 0.26329812
 0.24695269 0.25954505 0.23437736 0.22913596 0.22862743 0.22442627
 0.21687459 0.20213745 0.2162812  0.19836838]","[0.52822781 0.51312583 0.52462328 0.50945564 0.50515877 0.51312583
 0.49694334 0.50945564 0.48412536 0.47868149 0.47815    0.4737365
 0.46569796 0.44959699 0.46506042 0.44538565]","[0.95500383 0.91367242 0.9475978  0.91428338 0.87000165 0.91367242
 0.8516513  0.91428338 0.78303054 0.78748171 0.76172155 0.77995335
 0.70468927 0.67541255 0.67775055 0.65406419]"
5,"[ 228.58655754  460.50138574  296.61383929  465.43713782  638.88558468
  460.50138574  847.94354839  465.43713782 1047.70184426 1141.87148803
 1342.00563525 1145.08688866 1421.79270833 1715.18731524 1738.24244792
 1714.85568396]","[ 7.35094246 10.61375661  8.56225198 10.83194759 12.52520161 10.61375661
 14.85635081 10.83194759 16.3852459  17.53277836 19.3647541  17.73152966
 19.70989583 22.82289707 22.76015625 22.87825853]","[0.52821925 0.48808924 0.51000921 0.48790127 0.4759524  0.48808924
 0.45980088 0.48790127 0.44730194 0.43330877 0.43028561 0.4316115
 0.4246977  0.3949719  0.4110856  0.38843636]","[0.16996789 0.15222744 0.1656922  0.15330826 0.14673271 0.15222744
 0.1399707  0.15330826 0.130833   0.12466243 0.12423234 0.12310779
 0.11899089 0.10394103 0.11426609 0.10115926]","[0.41227162 0.39016336 0.40705306 0.39154598 0.38305706 0.39016336
 0.37412658 0.39154598 0.36170844 0.35307568 0.35246609 0.35086719
 0.34495056 0.32239887 0.33803267 0.31805543]","[0.96534812 0.93081698 0.95503478 0.93007546 0.90403443 0.93081698
 0.87262742 0.93007546 0.8440571  0.83148796 0.8002464  0.83101346
 0.79030998 0.75125234 0.74361962 0.75130047]"
6,"[ 251.80704365  494.45679012  296.42782738  465.36885865  703.4390121
  494.45679012  829.14037298  465.36885865 1135.98309426 1184.03511967
 1311.92699795 1145.5210718  1487.76953125 1719.30798173 1712.76848958
 1720.98441279]","[ 7.86805556 10.95011338  8.45114087 10.71227009 13.17792339 10.95011338
 14.33946573 10.71227009 17.0204918  17.5028616  18.4848873  17.30775234
 19.99348958 22.01209352 21.78515625 22.08357968]","[0.4737724  0.43927237 0.46329653 0.43390807 0.41797345 0.43927237
 0.39943942 0.43390807 0.38848579 0.38114402 0.37373527 0.37653111
 0.36180159 0.33962603 0.34578305 0.34217232]","[0.10398053 0.08906243 0.09930834 0.08894448 0.08485843 0.08906243
 0.07717829 0.08894448 0.07240721 0.06722857 0.06579803 0.06814924
 0.06226752 0.05233145 0.05719116 0.05453183]","[0.32246012 0.29843329 0.31513225 0.29823562 0.2913047  0.29843329
 0.27780981 0.29823562 0.26908589 0.25928474 0.25651127 0.26105409
 0.24953461 0.22876069 0.23914674 0.23352051]","[0.95658042 0.91554326 0.94888727 0.92051166 0.87985459 0.91554326
 0.85839595 0.92051166 0.80782122 0.80150209 0.77808187 0.80795862
 0.75071691 0.71701506 0.71305849 0.71673865]"
7,"[ 177.49107143  364.87251197  220.68874008  362.11413454  537.94581653
  364.87251197  672.56149194  362.11413454  942.34656762 1009.32180021
 1152.42264344 1009.65582726 1375.91927083 1711.51115292 1624.91015625
 1701.21392099]","[ 5.1547619   7.61879567  5.93774802  7.71856891  9.17212702  7.61879567
 10.73790323  7.71856891 12.62423156 13.48152966 14.78842213 13.6896462
 15.9703125  18.91937651 18.32734375 19.11824778]","[0.67035435 0.64773646 0.6619295  0.63862345 0.63007951 0.64773646
 0.62229015 0.63862345 0.60835904 0.60359035 0.60082597 0.60080881
 0.58636087 0.57222987 0.58522806 0.56996722]","[0.34986477 0.33400673 0.34536702 0.32894216 0.32117626 0.33400673
 0.31921615 0.32894216 0.30231407 0.30110509 0.30042196 0.29709138
 0.28399685 0.27335797 0.2868826  0.2709899 ]","[0.59149368 0.57793315 0.58767935 0.57353479 0.56672415 0.57793315
 0.56499217 0.57353479 0.54983094 0.54873044 0.54810762 0.54506089
 0.53291355 0.52283647 0.53561422 0.5205669 ]","[0.9599423  0.91860776 0.95019423 0.91922307 0.88001802 0.91860776
 0.8500051  0.91922307 0.7923129  0.78006516 0.74604832 0.77999237
 0.70038455 0.63570456 0.64623626 0.63789633]"
8,"[ 215.90029762  453.36306374  303.16914683  468.14764424  617.50756048
  453.36306374  865.24117944  468.14764424 1023.57146516 1148.37434964
 1384.27074795 1190.43730489 1439.00911458 1807.18516528 1867.01927083
 1899.43294813]","[ 6.54563492  9.53640716  7.80059524  9.60695389 10.97933468  9.53640716
 13.16154234  9.60695389 14.32197746 15.43002081 17.27843238 15.83116545
 17.63776042 20.54662725 20.9890625  21.33404999]","[0.50245714 0.44803776 0.48345895 0.45324813 0.43770732 0.44803776
 0.42020306 0.45324813 0.41112656 0.39848801 0.39182272 0.40098855
 0.38381107 0.36932612 0.37420457 0.36554154]","[0.08318054 0.06971965 0.08007148 0.07102163 0.06726659 0.06971965
 0.06132909 0.07102163 0.05919685 0.05582669 0.05428268 0.05572478
 0.05259413 0.04825066 0.04964708 0.04757768]","[0.28841036 0.2640448  0.28296905 0.26649884 0.25935803 0.2640448
 0.24764711 0.26649884 0.24330403 0.23627673 0.23298643 0.23606096
 0.2293341  0.21966033 0.22281625 0.21812309]","[0.96647613 0.93035672 0.95292395 0.92808561 0.9051591  0.93035672
 0.86710202 0.92808561 0.84450999 0.82734864 0.78972169 0.82102474
 0.7838054  0.73408091 0.71953596 0.72050707]"
9,"[ 192.9156746   376.87049635  228.27901786  364.25925926  552.04334677
  376.87049635  656.46900202  364.25925926  908.40317623  941.15062435
 1035.93929303  914.86654527 1206.16458333 1374.09701693 1312.59114583
 1377.90405805]","[ 6.74355159  9.62333081  7.5374504   9.48626858 11.48235887  9.62333081
 12.96446573  9.48626858 15.16905738 15.74167534 16.76972336 15.38735692
 17.89322917 20.03628057 19.53697917 20.02123085]","[0.53650592 0.50744123 0.52445724 0.50273603 0.49024422 0.50744123
 0.48482071 0.50273603 0.46329416 0.46390474 0.46097838 0.46004632
 0.44669463 0.42107703 0.43971385 0.42510247]","[0.18603528 0.17107444 0.18521693 0.1705878  0.16150067 0.17107444
 0.16164764 0.1705878  0.14720623 0.14538354 0.14992019 0.1457701
 0.13586521 0.12303399 0.13790297 0.12607057]","[0.43131807 0.41361146 0.43036836 0.41302276 0.40187147 0.41361146
 0.40205428 0.41302276 0.38367465 0.38129193 0.38719529 0.38179851
 0.36859898 0.35076201 0.37135289 0.35506417]","[0.96248934 0.92739557 0.95561554 0.92982513 0.89365952 0.92739557
 0.87355299 0.92982513 0.82664097 0.82196952 0.80232018 0.82694149
 0.77196154 0.74468289 0.75186777 0.74397553]"
